pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
3666.1026694045177,27485,NA,0.8183076881715612,cumdaysmany,cumdays,fract_composite,sens_all_ages,166.28336755646816,0.045356986028838475,1:0
1013.6071184120466,7547,NA,0,pattern_rt_gapintermittent,pattern_rt_gap,fract_composite,sens_all_ages,1013.6071184120466,0.35959085394814677,1:0
2818.778918548939,21106,NA,1.419054177565346,pattern_rt_gapcontinuous,pattern_rt_gap,fract_composite,sens_all_ages,1013.6071184120466,0.35959085394814677,1:0
3488.895277207392,26126,NA,1.1464947160012524,pattern_laggedintermittent,pattern_lagged,fract_composite,sens_all_ages,3488.895277207392,10.157173601147775,1:10
343.4907597535934,2527,NA,0,pattern_laggedcontinuous,pattern_lagged,fract_composite,sens_all_ages,3488.895277207392,10.157173601147775,1:10
2675.093771389459,19675,NA,0.7476373431803807,pattern_ittintermittent,pattern_itt,fract_composite,sens_all_ages,2675.093771389459,2.3115109734777066,1:2
1157.2922655715263,8978,NA,1.728171922943168,pattern_ittcontinuous,pattern_itt,fract_composite,sens_all_ages,2675.093771389459,2.3115109734777066,1:2
98.20670773442848,667,NA,0,cumdose450 to 899 mg,cumdose,fract_composite,sens_all_ages,98.20670773442848,0.5899768088290926,1:1
166.45859000684462,1201,NA,6.007500123357292,cumdose900 to 1500 mg,cumdose,fract_composite,sens_all_ages,98.20670773442848,0.5899768088290926,1:1
3567.7207392197124,26785,NA,0.8408729884660543,cumdose>1500 mg,cumdose,fract_composite,sens_all_ages,98.20670773442848,0.5899768088290926,1:1
3501.5852156057495,26217,NA,1.1423397557691675,severity0,severity,fract_composite,sens_all_ages,3501.5852156057495,18.522411620733102,1:19
189.04585900068446,1399,NA,0,severity1,severity,fract_composite,sens_all_ages,3501.5852156057495,18.522411620733102,1:19
124.40246406570841,907,NA,0,severity2,severity,fract_composite,sens_all_ages,3501.5852156057495,18.522411620733102,1:19
17.352498288843258,130,NA,0,severity3,severity,fract_composite,sens_all_ages,3501.5852156057495,18.522411620733102,1:19
3809.3141683778235,28471,NA,1.050057785520846,asthma0,asthma,fract_composite,sens_all_ages,3809.3141683778235,165.10644357422572,1:165
23.071868583162217,182,NA,0,asthma1,asthma,fract_composite,sens_all_ages,3809.3141683778235,165.10644357422572,1:165
3826.4722792607804,28612,NA,1.0453492690067894,alc0,alc,fract_composite,sens_all_ages,3826.4722792607804,647.0458333333333,1:647
NA,41,NA,0,alc1,alc,fract_composite,sens_all_ages,3826.4722792607804,647.0458333333333,1:647
803.3593429158111,5614,NA,1.2447729759020132,patternintermittent,pattern,calcium_and_vit_d,main,803.3593429158111,8.76581824699767,1:9
91.64681724845995,943,NA,10.911453665531457,patterncontinuous,pattern,calcium_and_vit_d,main,803.3593429158111,8.76581824699767,1:9
12.706365503080082,95,NA,0,cumdaysfew,cumdays,calcium_and_vit_d,main,12.706365503080082,0.014401415006516479,1:0
882.299794661191,6462,NA,2.266803202383169,cumdaysmany,cumdays,calcium_and_vit_d,main,12.706365503080082,0.014401415006516479,1:0
231.48254620123203,1672,NA,8.639960259731044,pattern_rt_gapintermittent,pattern_rt_gap,calcium_and_vit_d,main,231.48254620123203,0.34886858783917607,1:0
663.523613963039,4885,NA,0,pattern_rt_gapcontinuous,pattern_rt_gap,calcium_and_vit_d,main,231.48254620123203,0.34886858783917607,1:0
809.4401095140315,5941,NA,2.470843706028791,pattern_laggedintermittent,pattern_lagged,calcium_and_vit_d,main,809.4401095140315,9.459827856525774,1:9
85.56605065023956,616,NA,0,pattern_laggedcontinuous,pattern_lagged,calcium_and_vit_d,main,809.4401095140315,9.459827856525774,1:9
606.3025325119781,4346,NA,1.6493416180481548,pattern_ittintermittent,pattern_itt,calcium_and_vit_d,main,606.3025325119781,2.1000862976415142,1:2
288.70362765229294,2211,NA,3.4637597321928135,pattern_ittcontinuous,pattern_itt,calcium_and_vit_d,main,606.3025325119781,2.1000862976415142,1:2
NA,49,NA,0,cumdose450 to 899 mg,cumdose,calcium_and_vit_d,main,NA,0.4660543850171079,1:0
15.203285420944558,113,NA,0,cumdose900 to 1500 mg,cumdose,calcium_and_vit_d,main,NA,0.4660543850171079,1:0
872.7173169062286,6395,NA,2.2916928096373446,cumdose>1500 mg,cumdose,calcium_and_vit_d,main,NA,0.4660543850171079,1:0
808.8213552361397,5925,NA,2.4727339196132987,severity0,severity,calcium_and_vit_d,main,808.8213552361397,18.948239368866652,1:19
42.68583162217659,299,NA,0,severity1,severity,calcium_and_vit_d,main,808.8213552361397,18.948239368866652,1:19
35.148528405201915,269,NA,0,severity2,severity,calcium_and_vit_d,main,808.8213552361397,18.948239368866652,1:19
NA,64,NA,0,severity3,severity,calcium_and_vit_d,main,808.8213552361397,18.948239368866652,1:19
891.0636550308009,6526,NA,2.2445085586291444,asthma0,asthma,calcium_and_vit_d,main,891.0636550308009,226.01458333333338,1:226
NA,31,NA,0,asthma1,asthma,calcium_and_vit_d,main,891.0636550308009,226.01458333333338,1:226
